,Year,Nutrient nitrogen N (total) - tonnes,Nutrient phosphate P2O5 (total) - tonnes,Nutrient potash K2O (total) - tonnes,Item,Yield(tonnes/ha),Fung & Bact – Benzimidazoles,"Fung & Bact – Diazines, morpholines",Fung & Bact – Dithiocarbamates,Fung & Bact – Inorganics,Fung & Bact – Other,"Fung & Bact – Triazoles, diazoles",Herbicides – Amides,Herbicides – Carbamates,Herbicides – Dinitroanilines,Herbicides – Other,Herbicides – Phenoxy hormone products,Herbicides – Triazines,Herbicides – Urea derivates,Insecticides – Botanical products and biologicals,Insecticides – Carbamates,Insecticides – Organo-phosphates,Insecticides – Other,Insecticides – Pyrethroids,Mineral Oils,Plant Growth Regulators,Rodenticides – Other,Herbicides – Bipiridils,Herbicides – Sulfonyl ureas,Rodenticides – Anti-coagulants
62,1991,1720000,519000,729658,Currants,5.9406,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
63,1991,1720000,519000,729658,Gooseberries,5.7305,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
64,1991,1720000,519000,729658,Grapes,14.285,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
65,1991,1720000,519000,729658,Hop cones,1.6221,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
66,1991,1720000,519000,729658,Leeks and other alliaceous vegetables,24.6552,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
67,1991,1720000,519000,729658,"Lentils, dry",5.0,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
68,1991,1720000,519000,729658,Lettuce and chicory,23.6364,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
69,1991,1720000,519000,729658,Linseed,1.5,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
70,1991,1720000,519000,729658,Lupins,1.2,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
71,1991,1720000,519000,729658,Maize (corn),6.8432,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
72,1991,1720000,519000,729658,Mixed grain,4.6981,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
73,1991,1720000,519000,729658,Mustard seed,1.4,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
74,1991,1720000,519000,729658,Oats,4.9173,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
75,1991,1720000,519000,729658,"Onions and shallots, dry (excluding dehydrated)",35.3558,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
76,1991,1720000,519000,729658,"Other beans, green",9.0852,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
77,1991,1720000,519000,729658,Other pulses n.e.c.,3.4532,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
78,1991,1720000,519000,729658,Other stone fruits,16.3462,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
79,1991,1720000,519000,729658,"Other vegetables, fresh n.e.c.",28.6174,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
80,1991,1720000,519000,729658,Peaches and nectarines,4.7424,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
81,1991,1720000,519000,729658,Pears,18.5292,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
82,1991,1720000,519000,729658,"Peas, dry",3.3158,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
83,1991,1720000,519000,729658,"Peas, green",4.3778,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
