,Crop,Variable,Correlation
374,Linseed,Diammonium phosphate (DAP),0.803478531627093
375,Linseed,Fertilizers n.e.c.,0.5293335173109613
376,Linseed,Monoammonium phosphate (MAP),-0.22163420022863206
377,Linseed,NPK fertilizers,0.76690443253937
378,Linseed,Other NP compounds,0.885122813842661
379,Linseed,"Other nitrogenous fertilizers, n.e.c.",0.29853666844783294
380,Linseed,"Other phosphatic fertilizers, n.e.c.",-0.5360089836333461
381,Linseed,"Other potassic fertilizers, n.e.c.",0.36413280684373034
382,Linseed,PK compounds,0.19253845024931684
383,Linseed,Phosphate rock,-0.5011798271866116
384,Linseed,Potassium chloride (muriate of potash) (MOP),0.28626394957855544
385,Linseed,Potassium nitrate,0.05287959128863581
386,Linseed,Potassium sulphate (sulphate of potash) (SOP),-0.1377448464168372
387,Linseed,Sodium nitrate,0.14458843910464203
388,Linseed,Superphosphates above 35%,0.12543038726806835
389,Linseed,"Superphosphates, other",
390,Linseed,Urea,0.3964639470682612
391,Linseed,Urea and ammonium nitrate solutions (UAN),0.24360451778555184
392,Maize (corn),Year,0.238608915961898
393,Maize (corn),Nutrient nitrogen N (total) - tonnes,-0.008487767745651737
394,Maize (corn),Nutrient phosphate P2O5 (total) - tonnes,-0.12357627500588307
395,Maize (corn),Nutrient potash K2O (total) - tonnes,-0.2698051246494802
396,Maize (corn),harvest_area (ha),0.36742695591586017
397,Maize (corn),tonnes,0.8423673977121153
398,Maize (corn),"Ammonia, anhydrous",0.13893362972361975
399,Maize (corn),Ammonium nitrate (AN),-0.17152382393284066
400,Maize (corn),Ammonium sulphate,0.34854981196356294
401,Maize (corn),Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,0.3427598679173655
402,Maize (corn),Diammonium phosphate (DAP),0.285237732430346
403,Maize (corn),Fertilizers n.e.c.,-0.12404158904159951
404,Maize (corn),Monoammonium phosphate (MAP),-0.4199068066201759
405,Maize (corn),NPK fertilizers,-0.28151743167151905
406,Maize (corn),Other NP compounds,-0.3528421880280034
407,Maize (corn),"Other nitrogenous fertilizers, n.e.c.",0.18652488209919982
